"","term","df","sumsq","meansq","statistic","p.value"
"1","SEX_DUMMY",1,22.7436106781678,22.7436106781678,42.9517036502071,6.85881613436357e-11
"2","Residuals",2374,1257.07078326124,0.529515915442813,NA,NA
"3","MARSTAT_DUMMY",1,70.9391198117325,70.9391198117325,139.310873534559,2.77064221645177e-31
"4","Residuals",2374,1208.87527412766,0.509214521536503,NA,NA
"5","EDUC",1,47.487854664346,47.487854664346,91.4823818039964,2.70934729414239e-21
"6","Residuals",2374,1232.32653927505,0.51909289775697,NA,NA
