,statistic,parameter,p.value,estimate,conf.int,
Cor_Sleep_Happy,10.3697459,c(df = 2374),1.13E-24,c(cor = 0.208165237864426),0.169370162,0.246316205
Cor_Sleep_Happy,10.3697459,c(df = 2374),1.13E-24,c(cor = 0.208165237864426),0.169370162,0.246316205
Cor_Age_Happy,5.479246166,c(df = 2374),4.72E-08,c(cor = 0.11175104193921),0.071861113,0.151284057
Cor_Ment_Happy,28.03807317,c(df = 2374),1.15E-149,c(cor = 0.498764398913617),0.467936828,0.528379683
Cor_Phys_Happy,23.42086213,c(df = 2374),2.60E-109,c(cor = 0.433234351182709),0.399989953,0.465340243
